numero,filename,tipo,width,height,formato,bytes,tamanho,data_upload,source_url,paginas,alt_text,caption,sha256,status
11,011_galeria-gaia-residencia-idosos-curitiba35.JPG,foto,870,540,JPEG,120478,117.7 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba35.JPG,https://gaiaresidenciaparaidosos.com.br/galeria/,,,9f19d9adc4cba72449292483e2cf3d8eb4cb4f91f5d73c4438e52ef9117272e9,baixada
12,012_galeria-gaia-residencia-idosos-curitiba36.JPG,foto,870,540,JPEG,71228,69.6 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba36.JPG,https://gaiaresidenciaparaidosos.com.br/galeria/,,,d7e173b207730d57ac65e65bf453910391887c32be3a73612c5e0b117469953a,baixada
13,013_galeria-gaia-residencia-idosos-curitiba37.jpg,foto,870,540,JPEG,86571,84.5 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba37.jpg,https://gaiaresidenciaparaidosos.com.br/galeria/,,,04ccb96cb4bb90332608def09db0b0b6a781ce1233dfa3dc5b0c24e4ddd9da83,baixada
14,014_galeria-gaia-residencia-idosos-curitiba38.jpg,foto,870,540,JPEG,160255,156.5 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba38.jpg,https://gaiaresidenciaparaidosos.com.br/galeria/,,,7266996b60e8ad50d24fd49ef65d970308634a92f467bf7b6e49c1af11dff02d,baixada
15,015_galeria-gaia-residencia-idosos-curitiba39.jpg,foto,870,540,JPEG,154652,151.0 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba39.jpg,https://gaiaresidenciaparaidosos.com.br/galeria/,,,805d173e9c9c06ef1ea83e6963a8366744651b11ad1cd99ff41ac703a61df82b,baixada
16,016_galeria-gaia-residencia-idosos-curitiba40.jpg,foto,870,540,JPEG,155065,151.4 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba40.jpg,https://gaiaresidenciaparaidosos.com.br/galeria/,,,14fd79679ff253e2947e2537f534463d04a3b9e0cd9235a12a5fa352cc1d3fda,baixada
17,017_galeria-gaia-residencia-idosos-curitiba41.jpg,foto,870,540,JPEG,126350,123.4 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba41.jpg,https://gaiaresidenciaparaidosos.com.br/galeria/,,,e6d47299f4377727a73c31ba9b1908bfc73bb150314ce62c6329c4c1388cb4c8,baixada
18,018_galeria-gaia-residencia-idosos-curitiba42.jpg,foto,870,540,JPEG,79434,77.6 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba42.jpg,https://gaiaresidenciaparaidosos.com.br/galeria/,,,329f5b3dfb1e332b7d9b6c3e689b3977800c90e80b8e99ec905554c57f47b1a7,baixada
19,019_galeria-gaia-residencia-idosos-curitiba43.jpg,foto,870,540,JPEG,99197,96.9 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba43.jpg,https://gaiaresidenciaparaidosos.com.br/galeria/,,,49b0aa6aeffbd2e0537841209d600b02b3fc56b860d56ade264a32df3bc745bb,baixada
20,020_galeria-gaia-residencia-idosos-curitiba44.jpg,foto,870,540,JPEG,85399,83.4 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba44.jpg,https://gaiaresidenciaparaidosos.com.br/galeria/,,,b28a422d6d4703eed986eedd626690365f0ccab31119343ce876477584a2727c,baixada
21,021_galeria-gaia-residencia-idosos-curitiba45.jpg,foto,870,540,JPEG,53339,52.1 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba45.jpg,https://gaiaresidenciaparaidosos.com.br/galeria/,,,fe4f2558c5ff95a0ab62147f74ff609c83150ddd8477af72d950556ed66d08a1,baixada
22,022_galeria-gaia-residencia-idosos-curitiba46.jpg,foto,870,540,JPEG,85348,83.3 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba46.jpg,https://gaiaresidenciaparaidosos.com.br/galeria/,,,f081c2c2bd8ad5b8b6a80df51ecd3203f1c5d6ba76ff138abd776131cb2bb204,baixada
23,023_galeria-gaia-residencia-idosos-curitiba47.jpg,foto,870,540,JPEG,118101,115.3 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba47.jpg,https://gaiaresidenciaparaidosos.com.br/galeria/,,,e753b9abd86d71140ce616721ddf18ff7ad83dd2b440cba3ba292e259a6ff07c,baixada
24,024_galeria-gaia-residencia-idosos-curitiba48.jpg,foto,870,540,JPEG,106699,104.2 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba48.jpg,https://gaiaresidenciaparaidosos.com.br/galeria/,,,cb7dd50f75f7650d322c5f6ceab0db5016cc1e122ed2d167368e3318ce20b3b0,baixada
25,025_galeria-gaia-residencia-idosos-curitiba49.jpg,foto,870,540,JPEG,74263,72.5 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba49.jpg,https://gaiaresidenciaparaidosos.com.br/galeria/,,,1e063737baf50a857cea86f3251bb2038ed2d9134f52ef82264d5b56e881d91a,baixada
26,026_galeria-gaia-residencia-idosos-curitiba50.jpg,foto,870,540,JPEG,152957,149.4 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba50.jpg,https://gaiaresidenciaparaidosos.com.br/galeria/,,,707475663a70db5a2a7981631fc94bc16ec4e2d2721fd2a924279aae52915b06,baixada
27,027_galeria-gaia-residencia-idosos-curitiba58.jpg,foto,870,540,JPEG,70665,69.0 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba58.jpg,https://gaiaresidenciaparaidosos.com.br/galeria/ | https://gaiaresidenciaparaidosos.com.br/nossas-servicos/,,,c22b318cad5a0ce7fb1bfbeb906dd4f7f88494c62cc58e6ab5df09ec947cdc8c,baixada
28,028_face.png,logo/grafico,41,40,PNG,545,545 B,2022-04-11T16:02:26,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/2022/04/face.png,https://gaiaresidenciaparaidosos.com.br/,,,f5bb8f4afd91fb50a4c24134904bec5ffe7ec19782a636a857fdc8d35491847c,baixada
29,029_LOCAL-NOVO.jpeg,foto,1280,960,JPEG,282595,276.0 KB,2026-02-24T15:05:55,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/2026/02/LOCAL-NOVO.jpeg,https://gaiaresidenciaparaidosos.com.br/galeria/ | https://gaiaresidenciaparaidosos.com.br/nossas-servicos/ | https://gaiaresidenciaparaidosos.com.br/sobre-a-residencia/,,,a065053aec0a3b911c6eec8216664540d202fe29c24f19683a036115b1a5e5e5,baixada
